layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5
Ether,1078,IP,1064,TCP,1044.0,HTTP,1024.0,HTTPResponse,1024.0,920466456.5489053,1078,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2068.0,week1_wednesday.tcpdump,2892,Raw,818.0
Ether,571,IP,557,TCP,537.0,HTTP,517.0,Raw,517.0,920466456.549384,571,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2068.0,week1_wednesday.tcpdump,2893,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.549491,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,17.0,80.0,2068.0,week1_wednesday.tcpdump,2894,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.550906,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2068.0,80.0,week1_wednesday.tcpdump,2895,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.553549,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,17.0,2068.0,80.0,week1_wednesday.tcpdump,2896,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.55448,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2068.0,week1_wednesday.tcpdump,2897,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.55781,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,2.0,2072.0,80.0,week1_wednesday.tcpdump,2898,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.561288,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,18.0,80.0,2072.0,week1_wednesday.tcpdump,2899,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.561948,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2072.0,80.0,week1_wednesday.tcpdump,2900,,
Ether,370,IP,356,TCP,336.0,HTTP,316.0,HTTPRequest,316.0,920466456.562686,370,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,24.0,2072.0,80.0,week1_wednesday.tcpdump,2901,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.58484,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2072.0,week1_wednesday.tcpdump,2902,,
Ether,541,IP,527,TCP,507.0,HTTP,487.0,HTTPResponse,487.0,920466456.588475,541,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2072.0,week1_wednesday.tcpdump,2903,Raw,254.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.5886213,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,17.0,80.0,2072.0,week1_wednesday.tcpdump,2904,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.589582,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2072.0,80.0,week1_wednesday.tcpdump,2905,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.592382,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,17.0,2072.0,80.0,week1_wednesday.tcpdump,2906,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.5931368,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2072.0,week1_wednesday.tcpdump,2907,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.596772,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,2.0,2074.0,80.0,week1_wednesday.tcpdump,2908,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.600235,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,18.0,80.0,2074.0,week1_wednesday.tcpdump,2909,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.60093,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2074.0,80.0,week1_wednesday.tcpdump,2910,,
Ether,362,IP,348,TCP,328.0,HTTP,308.0,HTTPRequest,308.0,920466456.6016448,362,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,24.0,2074.0,80.0,week1_wednesday.tcpdump,2911,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.614876,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2074.0,week1_wednesday.tcpdump,2912,,
Ether,398,IP,384,TCP,364.0,HTTP,344.0,HTTPResponse,344.0,920466456.618542,398,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2074.0,week1_wednesday.tcpdump,2913,Raw,112.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.61866,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,17.0,80.0,2074.0,week1_wednesday.tcpdump,2914,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.619478,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2074.0,80.0,week1_wednesday.tcpdump,2915,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.622486,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,17.0,2074.0,80.0,week1_wednesday.tcpdump,2916,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.625352,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2074.0,week1_wednesday.tcpdump,2917,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.626908,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,2.0,2075.0,80.0,week1_wednesday.tcpdump,2918,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.630396,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,18.0,80.0,2075.0,week1_wednesday.tcpdump,2919,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.631046,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2075.0,80.0,week1_wednesday.tcpdump,2920,,
Ether,373,IP,359,TCP,339.0,HTTP,319.0,HTTPRequest,319.0,920466456.6317892,373,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,24.0,2075.0,80.0,week1_wednesday.tcpdump,2921,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.644894,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2075.0,week1_wednesday.tcpdump,2922,,
Ether,346,IP,332,TCP,312.0,HTTP,292.0,HTTPResponse,292.0,920466456.648565,346,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2075.0,week1_wednesday.tcpdump,2923,Raw,60.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.648655,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,17.0,80.0,2075.0,week1_wednesday.tcpdump,2924,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.6495788,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2075.0,80.0,week1_wednesday.tcpdump,2925,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.6524788,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,17.0,2075.0,80.0,week1_wednesday.tcpdump,2926,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.6531392,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2075.0,week1_wednesday.tcpdump,2927,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.657074,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,2.0,2076.0,80.0,week1_wednesday.tcpdump,2928,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.660542,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,18.0,80.0,2076.0,week1_wednesday.tcpdump,2929,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.6611948,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2076.0,80.0,week1_wednesday.tcpdump,2930,,
Ether,363,IP,349,TCP,329.0,HTTP,309.0,HTTPRequest,309.0,920466456.661934,363,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,24.0,2076.0,80.0,week1_wednesday.tcpdump,2931,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.674853,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2076.0,week1_wednesday.tcpdump,2932,,
Ether,346,IP,332,TCP,312.0,HTTP,292.0,HTTPResponse,292.0,920466456.678271,346,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2076.0,week1_wednesday.tcpdump,2933,Raw,60.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.6783688,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,17.0,80.0,2076.0,week1_wednesday.tcpdump,2934,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.679196,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2076.0,80.0,week1_wednesday.tcpdump,2935,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.6822268,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,17.0,2076.0,80.0,week1_wednesday.tcpdump,2936,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.685098,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2076.0,week1_wednesday.tcpdump,2937,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.686924,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,2.0,2077.0,80.0,week1_wednesday.tcpdump,2938,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.690396,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,18.0,80.0,2077.0,week1_wednesday.tcpdump,2939,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.691052,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,16.0,2077.0,80.0,week1_wednesday.tcpdump,2940,,
Ether,418,IP,404,TCP,384.0,HTTP,364.0,HTTPRequest,364.0,920466456.691883,418,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,24.0,2077.0,80.0,week1_wednesday.tcpdump,2941,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.704798,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2942,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,HTTPResponse,1460.0,920466456.717652,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2943,Raw,1192.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920466456.718877,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2944,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.725603,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,16.0,2077.0,80.0,week1_wednesday.tcpdump,2945,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920466456.729843,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2946,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920466456.7311052,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2947,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920466456.732335,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2948,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.735642,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,16.0,2077.0,80.0,week1_wednesday.tcpdump,2949,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920466456.739704,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2950,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920466456.740902,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2951,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920466456.742136,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2952,,
Ether,1345,IP,1331,TCP,1311.0,HTTP,1291.0,Raw,1291.0,920466456.743268,1345,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,24.0,80.0,2077.0,week1_wednesday.tcpdump,2953,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.745659,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,16.0,2077.0,80.0,week1_wednesday.tcpdump,2954,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.748507,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,17.0,80.0,2077.0,week1_wednesday.tcpdump,2955,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.749126,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,16.0,2077.0,80.0,week1_wednesday.tcpdump,2956,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.752206,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.67,17.0,2077.0,80.0,week1_wednesday.tcpdump,2957,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.755083,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.67,172.16.114.148,16.0,80.0,2077.0,week1_wednesday.tcpdump,2958,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.75716,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,2.0,2112.0,80.0,week1_wednesday.tcpdump,2959,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466456.7606312,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,18.0,80.0,2112.0,week1_wednesday.tcpdump,2960,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.7613232,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2112.0,80.0,week1_wednesday.tcpdump,2961,,
Ether,368,IP,354,TCP,334.0,HTTP,314.0,HTTPRequest,314.0,920466456.762083,368,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,24.0,2112.0,80.0,week1_wednesday.tcpdump,2962,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.774828,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2112.0,week1_wednesday.tcpdump,2963,,
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,HTTPResponse,1460.0,920466456.7804072,1514,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2112.0,week1_wednesday.tcpdump,2964,Raw,1225.0
Ether,1158,IP,1144,TCP,1124.0,HTTP,1104.0,Raw,1104.0,920466456.781355,1158,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2112.0,week1_wednesday.tcpdump,2965,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.781452,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,17.0,80.0,2112.0,week1_wednesday.tcpdump,2966,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.783257,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2112.0,80.0,week1_wednesday.tcpdump,2967,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.786648,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,17.0,2112.0,80.0,week1_wednesday.tcpdump,2968,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466456.7895052,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2112.0,week1_wednesday.tcpdump,2969,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466457.519307,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2970,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466457.52459,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2971,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466458.205102,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2972,,
Ether,60,Raw,46,,,,,,,920466458.593549,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_wednesday.tcpdump,2973,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466459.514214,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2974,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466459.515766,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2975,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466460.20529,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2976,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466461.204366,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2977,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466461.5259472,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2978,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466461.527378,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2979,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466462.704636,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2980,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466463.521213,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2981,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466463.522734,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2982,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466464.205312,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2983,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466465.205443,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2984,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466465.51618,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2985,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466465.517599,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2986,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466466.705571,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2987,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466467.511128,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2988,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466467.5125368,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2989,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,RIPEntry,20.0,920466467.659575,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week1_wednesday.tcpdump,2990,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466468.204767,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2991,,
Ether,60,Raw,46,,,,,,,920466468.661808,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_wednesday.tcpdump,2992,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466469.522852,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2993,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466469.524338,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2994,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466470.205251,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2995,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466471.205869,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2996,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466471.5179212,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,2997,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466471.5193392,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2998,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466472.705268,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,2999,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466473.51303,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,3000,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466473.5144552,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,3001,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466474.205448,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,3002,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466475.205457,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,3003,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466475.313599,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,2.0,2115.0,80.0,week1_wednesday.tcpdump,3004,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466475.317068,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,18.0,80.0,2115.0,week1_wednesday.tcpdump,3005,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466475.317758,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2115.0,80.0,week1_wednesday.tcpdump,3006,,
Ether,325,IP,311,TCP,291.0,HTTP,271.0,HTTPRequest,271.0,920466475.318506,325,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,24.0,2115.0,80.0,week1_wednesday.tcpdump,3007,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466475.3339472,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2115.0,week1_wednesday.tcpdump,3008,,
Ether,294,IP,280,TCP,260.0,HTTP,240.0,HTTPResponse,240.0,920466475.335608,294,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,24.0,80.0,2115.0,week1_wednesday.tcpdump,3009,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466475.3357072,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,17.0,80.0,2115.0,week1_wednesday.tcpdump,3010,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466475.3365448,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,16.0,2115.0,80.0,week1_wednesday.tcpdump,3011,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466475.3369268,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.65,17.0,2115.0,80.0,week1_wednesday.tcpdump,3012,,
Ether,72,IP,58,UDP,38.0,DNS,30.0,,,920466475.338709,72,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.112.20,192.168.1.20,,53.0,53.0,week1_wednesday.tcpdump,3013,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466475.340136,60,00:60:97:de:54:36,00:10:7b:38:46:32,205.181.112.65,172.16.114.148,16.0,80.0,2115.0,week1_wednesday.tcpdump,3014,,
Ether,132,IP,118,UDP,98.0,DNS,90.0,,,920466475.344058,132,00:60:97:de:54:36,00:10:7b:38:46:32,192.168.1.20,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,3015,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466475.3457948,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.114.148,205.181.112.24,2.0,2116.0,80.0,week1_wednesday.tcpdump,3016,,
